Rank,Time,S_avg,I_avg,R_avg
0,0.2,0.932201,0.0195813,0.048218
0,0.4,0.93113,0.0202533,0.0486164
0,0.6,0.930024,0.0209473,0.0490284
0,0.8,0.928882,0.0216639,0.0494545
0,1,0.927701,0.0224037,0.0498953
0,1.2,0.926481,0.0231676,0.050351
0,1.4,0.925222,0.0239561,0.0508223
0,1.6,0.92392,0.02477,0.0513096
0,1.8,0.922577,0.02561,0.0518134
0,2,0.921189,0.0264768,0.0523343
0,2.2,0.919756,0.027371,0.0528728
0,2.4,0.918277,0.0282934,0.0534295
0,2.6,0.91675,0.0292446,0.0540049
0,2.8,0.915175,0.0302254,0.0545996
0,3,0.913549,0.0312365,0.0552143
0,3.2,0.911872,0.0322785,0.0558495
0,3.4,0.910142,0.0333521,0.0565058
0,3.6,0.908358,0.0344579,0.057184
0,3.8,0.906519,0.0355968,0.0578846
0,4,0.904623,0.0367692,0.0586083
0,4.2,0.902668,0.0379759,0.0593558
0,4.4,0.900655,0.0392175,0.0601278
0,4.6,0.89858,0.0404946,0.0609249
0,4.8,0.896444,0.0418078,0.061748
0,5,0.894244,0.0431578,0.0625977
0,5.2,0.89198,0.044545,0.0634748
0,5.4,0.88965,0.0459701,0.06438
0,5.6,0.887252,0.0474335,0.0653141
0,5.8,0.884786,0.0489357,0.0662779
0,6,0.882251,0.0504774,0.0672721
0,6.2,0.879644,0.0520587,0.0682975
0,6.4,0.876965,0.0536803,0.069355
0,6.6,0.874212,0.0553424,0.0704453
0,6.8,0.871385,0.0570454,0.0715692
0,7,0.868483,0.0587896,0.0727277
0,7.2,0.865503,0.0605752,0.0739214
0,7.4,0.862446,0.0624025,0.0751513
0,7.6,0.85931,0.0642716,0.0764181
0,7.8,0.856095,0.0661826,0.0777227
0,8,0.852798,0.0681356,0.079066
0,8.2,0.849421,0.0701306,0.0804488
0,8.4,0.845961,0.0721676,0.0818718
0,8.6,0.842418,0.0742463,0.0833361
0,8.8,0.838791,0.0763667,0.0848423
0,9,0.83508,0.0785285,0.0863914
0,9.2,0.831285,0.0807314,0.0879841
0,9.4,0.827404,0.082975,0.0896213
0,9.6,0.823437,0.0852589,0.0913037
0,9.8,0.819385,0.0875827,0.0930323
0,10,0.815247,0.0899456,0.0948077
0,10.2,0.811022,0.092347,0.0966307
0,10.4,0.806712,0.0947863,0.0985022
0,10.6,0.802315,0.0972625,0.100423
0,10.8,0.797832,0.0997749,0.102393
0,11,0.793263,0.102322,0.104414
0,11.2,0.788609,0.104904,0.106487
0,11.4,0.78387,0.107519,0.108611
0,11.6,0.779047,0.110165,0.110788
0,11.8,0.77414,0.112842,0.113018
0,12,0.769149,0.115548,0.115302
0,12.2,0.764077,0.118282,0.117641
0,12.4,0.758923,0.121042,0.120034
0,12.6,0.753689,0.123827,0.122483
0,12.8,0.748376,0.126636,0.124988
0,13,0.742986,0.129465,0.127549
0,13.2,0.737519,0.132314,0.130167
0,13.4,0.731977,0.135181,0.132842
0,13.6,0.726361,0.138064,0.135575
0,13.8,0.720674,0.140961,0.138365
0,14,0.714917,0.14387,0.141214
0,14.2,0.709091,0.146788,0.144121
0,14.4,0.703199,0.149715,0.147086
0,14.6,0.697243,0.152647,0.15011
0,14.8,0.691225,0.155583,0.153192
0,15,0.685147,0.15852,0.156333
0,15.2,0.679011,0.161455,0.159533
0,15.4,0.67282,0.164388,0.162792
0,15.6,0.666576,0.167315,0.166109
0,15.8,0.660281,0.170234,0.169485
0,16,0.653938,0.173143,0.172919
0,16.2,0.64755,0.176039,0.176411
0,16.4,0.641119,0.17892,0.179961
0,16.6,0.634648,0.181784,0.183568
0,16.8,0.62814,0.184628,0.187232
0,17,0.621597,0.187449,0.190953
0,17.2,0.615023,0.190247,0.194731
0,17.4,0.60842,0.193017,0.198563
0,17.6,0.601791,0.195758,0.202451
0,17.8,0.595139,0.198467,0.206394
0,18,0.588467,0.201143,0.21039
0,18.2,0.581779,0.203782,0.21444
0,18.4,0.575076,0.206383,0.218541
0,18.6,0.568362,0.208943,0.222695
0,18.8,0.561641,0.21146,0.226899
0,19,0.554914,0.213933,0.231153
0,19.2,0.548185,0.216358,0.235457
0,19.4,0.541458,0.218734,0.239808
0,19.6,0.534735,0.22106,0.244206
0,19.8,0.528018,0.223332,0.24865
0,20,0.521312,0.225549,0.253139
1,0.2,0.924088,0.0216033,0.0543089
1,0.4,0.924088,0.0211755,0.0547367
1,0.6,0.924088,0.0207562,0.055156
1,0.8,0.924088,0.0203452,0.055567
1,1,0.924088,0.0199424,0.0559699
1,1.2,0.924088,0.0195475,0.0563647
1,1.4,0.924088,0.0191604,0.0567518
1,1.6,0.924088,0.018781,0.0571312
1,1.8,0.924088,0.0184091,0.0575031
1,2,0.924088,0.0180446,0.0578676
1,2.2,0.924088,0.0176873,0.0582249
1,2.4,0.924088,0.0173371,0.0585752
1,2.6,0.924088,0.0169938,0.0589185
1,2.8,0.924088,0.0166573,0.059255
1,3,0.924088,0.0163274,0.0595848
1,3.2,0.924088,0.0160041,0.0599081
1,3.4,0.924088,0.0156872,0.060225
1,3.6,0.924088,0.0153766,0.0605356
1,3.8,0.924088,0.0150721,0.0608401
1,4,0.924088,0.0147737,0.0611386
1,4.2,0.924088,0.0144811,0.0614311
1,4.4,0.924088,0.0141944,0.0617178
1,4.6,0.924088,0.0139133,0.0619989
1,4.8,0.924088,0.0136378,0.0622744
1,5,0.924088,0.0133678,0.0625445
1,5.2,0.924088,0.0131031,0.0628092
1,5.4,0.924088,0.0128436,0.0630686
1,5.6,0.924088,0.0125893,0.0633229
1,5.8,0.924088,0.01234,0.0635722
1,6,0.924088,0.0120957,0.0638166
1,6.2,0.924088,0.0118562,0.0640561
1,6.4,0.924088,0.0116214,0.0642908
1,6.6,0.924088,0.0113913,0.064521
1,6.8,0.924088,0.0111657,0.0647465
1,7,0.924088,0.0109446,0.0649676
1,7.2,0.924088,0.0107279,0.0651843
1,7.4,0.924088,0.0105155,0.0653968
1,7.6,0.924088,0.0103072,0.065605
1,7.8,0.924088,0.0101031,0.0658091
1,8,0.924088,0.00990309,0.0660091
1,8.2,0.924088,0.009707,0.0662052
1,8.4,0.924088,0.00951479,0.0663974
1,8.6,0.924088,0.00932638,0.0665858
1,8.8,0.924088,0.00914171,0.0667705
1,9,0.924088,0.00896069,0.0669515
1,9.2,0.924088,0.00878325,0.067129
1,9.4,0.924088,0.00860933,0.0673029
1,9.6,0.924088,0.00843886,0.0674734
1,9.8,0.924088,0.00827176,0.0676405
1,10,0.924088,0.00810797,0.0678043
1,10.2,0.924088,0.00794742,0.0679648
1,10.4,0.924088,0.00779005,0.0681222
1,10.6,0.924088,0.00763579,0.0682764
1,10.8,0.924088,0.0074846,0.0684276
1,11,0.924088,0.00733639,0.0685758
1,11.2,0.924088,0.00719112,0.0687211
1,11.4,0.924088,0.00704873,0.0688635
1,11.6,0.924088,0.00690915,0.0690031
1,11.8,0.924088,0.00677234,0.0691399
1,12,0.924088,0.00663824,0.069274
1,12.2,0.924088,0.00650679,0.0694054
1,12.4,0.924088,0.00637795,0.0695343
1,12.6,0.924088,0.00625166,0.0696606
1,12.8,0.924088,0.00612787,0.0697844
1,13,0.924088,0.00600653,0.0699057
1,13.2,0.924088,0.00588759,0.0700246
1,13.4,0.924088,0.00577101,0.0701412
1,13.6,0.924088,0.00565674,0.0702555
1,13.8,0.924088,0.00554472,0.0703675
1,14,0.924088,0.00543493,0.0704773
1,14.2,0.924088,0.00532731,0.0705849
1,14.4,0.924088,0.00522183,0.0706904
1,14.6,0.924088,0.00511843,0.0707938
1,14.8,0.924088,0.00501707,0.0708952
1,15,0.924088,0.00491773,0.0709945
1,15.2,0.924088,0.00482035,0.0710919
1,15.4,0.924088,0.0047249,0.0711873
1,15.6,0.924088,0.00463134,0.0712809
1,15.8,0.924088,0.00453964,0.0713726
1,16,0.924088,0.00444975,0.0714625
1,16.2,0.924088,0.00436164,0.0715506
1,16.4,0.924088,0.00427527,0.071637
1,16.6,0.924088,0.00419061,0.0717216
1,16.8,0.924088,0.00410763,0.0718046
1,17,0.924088,0.0040263,0.0718859
1,17.2,0.924088,0.00394657,0.0719657
1,17.4,0.924088,0.00386842,0.0720438
1,17.6,0.924088,0.00379182,0.0721204
1,17.8,0.924088,0.00371674,0.0721955
1,18,0.924088,0.00364314,0.0722691
1,18.2,0.924088,0.003571,0.0723412
1,18.4,0.924088,0.00350029,0.0724119
1,18.6,0.924088,0.00343098,0.0724812
1,18.8,0.924088,0.00336305,0.0725492
1,19,0.924088,0.00329645,0.0726158
1,19.2,0.924088,0.00323118,0.072681
1,19.4,0.924088,0.0031672,0.072745
1,19.6,0.924088,0.00310448,0.0728077
1,19.8,0.924088,0.00304301,0.0728692
1,20,0.924088,0.00298275,0.0729295
2,0.2,0.932559,0.0208277,0.0466131
2,0.4,0.932559,0.0204153,0.0470255
2,0.6,0.932559,0.020011,0.0474298
2,0.8,0.932559,0.0196148,0.047826
2,1,0.932559,0.0192264,0.0482144
2,1.2,0.932559,0.0188457,0.0485951
2,1.4,0.932559,0.0184725,0.0489683
2,1.6,0.932559,0.0181067,0.0493341
2,1.8,0.932559,0.0177482,0.0496926
2,2,0.932559,0.0173967,0.050044
2,2.2,0.932559,0.0170523,0.0503885
2,2.4,0.932559,0.0167146,0.0507262
2,2.6,0.932559,0.0163836,0.0510571
2,2.8,0.932559,0.0160592,0.0513816
2,3,0.932559,0.0157412,0.0516996
2,3.2,0.932559,0.0154295,0.0520112
2,3.4,0.932559,0.015124,0.0523168
2,3.6,0.932559,0.0148245,0.0526162
2,3.8,0.932559,0.014531,0.0529098
2,4,0.932559,0.0142433,0.0531975
2,4.2,0.932559,0.0139612,0.0534796
2,4.4,0.932559,0.0136848,0.053756
2,4.6,0.932559,0.0134138,0.054027
2,4.8,0.932559,0.0131482,0.0542926
2,5,0.932559,0.0128878,0.054553
2,5.2,0.932559,0.0126326,0.0548081
2,5.4,0.932559,0.0123825,0.0550583
2,5.6,0.932559,0.0121373,0.0553035
2,5.8,0.932559,0.011897,0.0555438
2,6,0.932559,0.0116614,0.0557794
2,6.2,0.932559,0.0114305,0.0560103
2,6.4,0.932559,0.0112041,0.0562366
2,6.6,0.932559,0.0109823,0.0564585
2,6.8,0.932559,0.0107648,0.056676
2,7,0.932559,0.0105517,0.0568891
2,7.2,0.932559,0.0103427,0.0570981
2,7.4,0.932559,0.0101379,0.0573029
2,7.6,0.932559,0.00993718,0.0575036
2,7.8,0.932559,0.00974041,0.0577004
2,8,0.932559,0.00954754,0.0578932
2,8.2,0.932559,0.00935848,0.0580823
2,8.4,0.932559,0.00917317,0.0582676
2,8.6,0.932559,0.00899153,0.0584492
2,8.8,0.932559,0.00881349,0.0586273
2,9,0.932559,0.00863897,0.0588018
2,9.2,0.932559,0.00846791,0.0589729
2,9.4,0.932559,0.00830023,0.0591405
2,9.6,0.932559,0.00813587,0.0593049
2,9.8,0.932559,0.00797477,0.059466
2,10,0.932559,0.00781686,0.0596239
2,10.2,0.932559,0.00766208,0.0597787
2,10.4,0.932559,0.00751036,0.0599304
2,10.6,0.932559,0.00736164,0.0600791
2,10.8,0.932559,0.00721587,0.0602249
2,11,0.932559,0.00707299,0.0603678
2,11.2,0.932559,0.00693293,0.0605078
2,11.4,0.932559,0.00679565,0.0606451
2,11.6,0.932559,0.00666109,0.0607797
2,11.8,0.932559,0.00652919,0.0609116
2,12,0.932559,0.00639991,0.0610409
2,12.2,0.932559,0.00627318,0.0611676
2,12.4,0.932559,0.00614896,0.0612918
2,12.6,0.932559,0.0060272,0.0614136
2,12.8,0.932559,0.00590786,0.0615329
2,13,0.932559,0.00579087,0.0616499
2,13.2,0.932559,0.00567621,0.0617646
2,13.4,0.932559,0.00556381,0.061877
2,13.6,0.932559,0.00545364,0.0619871
2,13.8,0.932559,0.00534565,0.0620951
2,14,0.932559,0.0052398,0.062201
2,14.2,0.932559,0.00513604,0.0623047
2,14.4,0.932559,0.00503434,0.0624064
2,14.6,0.932559,0.00493466,0.0625061
2,14.8,0.932559,0.00483694,0.0626038
2,15,0.932559,0.00474117,0.0626996
2,15.2,0.932559,0.00464729,0.0627935
2,15.4,0.932559,0.00455526,0.0628855
2,15.6,0.932559,0.00446506,0.0629757
2,15.8,0.932559,0.00437665,0.0630641
2,16,0.932559,0.00428998,0.0631508
2,16.2,0.932559,0.00420504,0.0632357
2,16.4,0.932559,0.00412177,0.063319
2,16.6,0.932559,0.00404016,0.0634006
2,16.8,0.932559,0.00396016,0.0634806
2,17,0.932559,0.00388174,0.063559
2,17.2,0.932559,0.00380488,0.0636359
2,17.4,0.932559,0.00372953,0.0637112
