PhaseName,Statistic,Value,Units,NumRanks
distributeBlocks_Bcast_TotalBlocks,Rank_0_Time,3.9335e-05,s,1
distributeBlocks_CommLoop,Min,0.000128466,s,4
distributeBlocks_CommLoop,Max,0.000316084,s,4
distributeBlocks_CommLoop,Avg,0.000260105,s,4
distributeBlocks_Total,Min,0.0012776,s,4
distributeBlocks_Total,Max,0.00128847,s,4
distributeBlocks_Total,Avg,0.00128159,s,4
Total_MPI_Prep_In_Loop_Rank0,Rank_0_Time,1.3606e-05,s,1
Total_MPI_Comm_In_Loop_Rank0,Rank_0_Time,4.961e-06,s,1
Total_Local_Computation_Rank0,Rank_0_Time,0.000158091,s,1
runSimulation_TotalWallTime,Min,0.000934285,s,4
runSimulation_TotalWallTime,Max,0.00366776,s,4
runSimulation_TotalWallTime,Avg,0.00172099,s,4
