Process,Time,S,I,R
0,0,0.238275,0.203868,0.557857
0,0.2,0.234952,0.203121,0.561927
0,0.4,0.231713,0.202306,0.565982
0,0.6,0.228556,0.201425,0.570019
0,0.8,0.225479,0.200483,0.574038
0,1,0.222479,0.199483,0.578038
0,1.2,0.219556,0.198427,0.582017
0,1.4,0.216706,0.19732,0.585974
0,1.6,0.213927,0.196163,0.589909
0,1.8,0.211219,0.194961,0.593821
0,2,0.208578,0.193715,0.597707
0,2.2,0.206003,0.192428,0.601569
0,2.4,0.203493,0.191102,0.605404
0,2.6,0.201046,0.189741,0.609213
0,2.8,0.19866,0.188346,0.612994
0,3,0.196334,0.18692,0.616746
0,3.2,0.194065,0.185465,0.62047
0,3.4,0.191853,0.183982,0.624165
0,3.6,0.189696,0.182474,0.627829
0,3.8,0.187593,0.180943,0.631463
0,4,0.185542,0.179391,0.635067
0,4.2,0.183542,0.177819,0.638639
0,4.4,0.181591,0.17623,0.642179
0,4.6,0.179688,0.174624,0.645688
0,4.8,0.177833,0.173003,0.649164
0,5,0.176022,0.17137,0.652608
0,5.2,0.174257,0.169725,0.656019
0,5.4,0.172534,0.168069,0.659397
0,5.6,0.170854,0.166405,0.662741
0,5.8,0.169214,0.164733,0.666053
0,6,0.167614,0.163055,0.669331
0,6.2,0.166053,0.161372,0.672575
0,6.4,0.164529,0.159685,0.675785
0,6.6,0.163042,0.157995,0.678962
0,6.8,0.161591,0.156304,0.682105
0,7,0.160174,0.154611,0.685214
0,7.2,0.158791,0.152919,0.68829
0,7.4,0.157441,0.151228,0.691331
0,7.6,0.156122,0.149539,0.694339
0,7.8,0.154835,0.147853,0.697313
0,8,0.153577,0.14617,0.700253
0,8.2,0.152349,0.144492,0.703159
0,8.4,0.151149,0.142818,0.706032
0,8.6,0.149977,0.141151,0.708872
0,8.8,0.148832,0.13949,0.711679
0,9,0.147713,0.137836,0.714452
0,9.2,0.146619,0.136189,0.717192
0,9.4,0.14555,0.134551,0.719899
0,9.6,0.144505,0.132921,0.722574
0,9.8,0.143483,0.1313,0.725216
0,10,0.142485,0.129689,0.727826
0,10.2,0.141508,0.128088,0.730404
0,10.4,0.140553,0.126498,0.73295
0,10.6,0.139619,0.124918,0.735464
0,10.8,0.138705,0.123349,0.737946
0,11,0.137811,0.121792,0.740398
0,11.2,0.136936,0.120246,0.742818
0,11.4,0.13608,0.118713,0.745208
0,11.6,0.135242,0.117192,0.747567
0,11.8,0.134422,0.115683,0.749895
0,12,0.133619,0.114187,0.752194
