influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.5,0.001,0.001,0.1,0.795506,0.00717125,,,0.5,0.4,0.4,0.1
0.5,0.01,0.01,0.01,0.795506,0.0715492,,,0.3,0.2,0.2,0.01
0.5,0.01,0.001,0.01,0.795506,0.0716464,,,0.1,0.1,0.1,0.005
0.5,0.01,0.005,0.01,0.795506,0.0729027,,,0.05,0.05,0.05,0.001
0.5,0.1,0.05,0.001,0.795506,0.66448,,,0.01,0.01,0.01,
0.5,0.1,0.01,0.001,0.795506,0.688104,,,,0.005,0.005,
0.5,0.1,0.1,0.001,0.795506,0.698006,,,,0.001,0.001,
0.5,0.1,0.001,0.001,0.795506,0.699914,,,,,,
0.5,0.1,0.005,0.001,0.795506,0.701238,,,,,,
0.5,0.1,0.2,0.001,0.795505,0.692146,,,,,,
0.5,0.1,0.4,0.001,0.795503,0.70106,,,,,,
0.5,0.001,0.005,0.1,0.795502,0.00747235,,,,,,
0.5,0.01,0.05,0.01,0.795502,0.0715166,,,,,,
0.5,0.001,0.01,0.1,0.795498,0.00679057,,,,,,
0.5,0.01,0.1,0.01,0.795498,0.0694333,,,,,,
0.5,0.01,0.2,0.01,0.795491,0.0689988,,,,,,
0.5,0.01,0.4,0.01,0.795475,0.0710187,,,,,,
0.5,0.001,0.05,0.1,0.795467,0.0067538,,,,,,
0.5,0.001,0.1,0.1,0.795429,0.00717926,,,,,,
0.5,0.001,0.2,0.1,0.795352,0.00708823,,,,,,
0.5,0.001,0.4,0.1,0.794868,0.00757701,,,,,,
0.3,0.01,0.005,0.01,0.790451,0.0685276,,,,,,
0.3,0.01,0.001,0.01,0.790451,0.070762,,,,,,
0.3,0.1,0.005,0.001,0.790451,0.690259,,,,,,
0.3,0.1,0.05,0.001,0.790451,0.691573,,,,,,
0.3,0.1,0.001,0.001,0.790451,0.69356,,,,,,
0.3,0.1,0.01,0.001,0.790451,0.696637,,,,,,
0.3,0.001,0.001,0.1,0.79045,0.00686603,,,,,,
